"r","L_centered","L_lo","L_hi","Label","Modality"
121.212121212121,606.232458224862,-3.28133089504982,4.6959070403969,"Bx2","Protein (CD3+)"
131.313131313131,640.724305655124,-3.2764603728321,4.84866880699056,"Bx2","Protein (CD3+)"
141.414141414141,675.223672177357,-3.42824086501872,4.10982380801377,"Bx2","Protein (CD3+)"
151.515151515152,709.119212806453,-3.97653300267791,3.97766858923109,"Bx2","Protein (CD3+)"
161.616161616162,742.77300606718,-3.65023482944625,4.45276913025489,"Bx2","Protein (CD3+)"
171.717171717172,775.85469660188,-3.19063225836354,4.66611511897821,"Bx2","Protein (CD3+)"
181.818181818182,807.116998997553,-3.16749741398365,5.527737983598,"Bx2","Protein (CD3+)"
191.919191919192,837.397552444487,-3.69973054783162,6.24921434271778,"Bx2","Protein (CD3+)"
202.020202020202,865.675168029659,-2.91522080294007,5.61669527811898,"Bx2","Protein (CD3+)"
212.121212121212,892.549998282161,-2.58186626208791,5.63541908592777,"Bx2","Protein (CD3+)"
222.222222222222,917.948272963534,-2.69014637606074,5.68211284426846,"Bx2","Protein (CD3+)"
232.323232323232,943.037539282395,-2.88225272925149,6.03123257726111,"Bx2","Protein (CD3+)"
242.424242424242,966.025378612082,-2.80671133178643,5.6770535676163,"Bx2","Protein (CD3+)"
252.525252525253,988.484363231452,-2.99704326974853,5.25256271124218,"Bx2","Protein (CD3+)"
262.626262626263,1009.89478874787,-3.43706091875151,5.21347550646999,"Bx2","Protein (CD3+)"
272.727272727273,1030.52537344585,-3.2133012275429,5.37716560296127,"Bx2","Protein (CD3+)"
282.828282828283,1049.95306762114,-3.13226660398101,5.17407875751496,"Bx2","Protein (CD3+)"
292.929292929293,1068.91384822315,-3.16026354410752,5.16463754703625,"Bx2","Protein (CD3+)"
303.030303030303,1088.1502760708,-3.39743650811346,4.65931582375572,"Bx2","Protein (CD3+)"
313.131313131313,1105.9157016094,-3.56707919957421,4.64579790367321,"Bx2","Protein (CD3+)"
323.232323232323,1123.09090626329,-3.53483671550197,4.36639933103606,"Bx2","Protein (CD3+)"
333.333333333333,1139.65074784202,-3.15123207254925,4.69905035391577,"Bx2","Protein (CD3+)"
343.434343434343,1155.40323108167,-3.09603537710206,4.66442702853067,"Bx2","Protein (CD3+)"
353.535353535354,1169.70620411795,-3.59194916267745,4.67665698987793,"Bx2","Protein (CD3+)"
363.636363636364,1182.70654340596,-3.06278372228746,4.43714168751154,"Bx2","Protein (CD3+)"
373.737373737374,1194.42722873266,-3.13991131290561,4.33792623674753,"Bx2","Protein (CD3+)"
383.838383838384,1205.40012033566,-3.44615780017546,3.92807944207499,"Bx2","Protein (CD3+)"
393.939393939394,1215.46140664376,-3.31357636705775,3.59949804130167,"Bx2","Protein (CD3+)"
404.040404040404,1225.08119097796,-3.52056914978033,3.86957466851618,"Bx2","Protein (CD3+)"
414.141414141414,1233.4781902218,-3.34065625670917,4.10406030435541,"Bx2","Protein (CD3+)"
424.242424242424,1241.16217910903,-3.61388511432034,3.75142281808633,"Bx2","Protein (CD3+)"
434.343434343434,1248.17234742296,-3.17397395538825,4.30174495091404,"Bx2","Protein (CD3+)"
444.444444444444,1254.93245058482,-2.9512304142055,3.91712325360481,"Bx2","Protein (CD3+)"
454.545454545455,1261.48051344241,-3.06745853063217,3.82880788204346,"Bx2","Protein (CD3+)"
